,name,user rating,Price,Sales Package,Series,Color,Type,Suitable For,Power Supply,Battery Cell,MS Office Provided,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,Processor Brand,Processor Name,Processor Generation,SSD,SSD Capacity,RAM,RAM Type,Clock Speed,Expandable Memory,Cache,Graphic Processor,Number of Cores,OS Architecture,Operating System,USB Port,HDMI Port,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Sound Properties,Wireless LAN,Bluetooth,Dimensions,Weight,Finger Print Sensor,Keyboard,Backlit Keyboard,Additional Features,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Web Camera,Battery Backup,Chipset,Memory Slots,RAM Frequency,RJ45,Sound Chip,Brightness,Laptop Bag,Other Accessories,Hardware Interface,Face Recognition,System Architecture,Refresh Rate,Antivirus,Multi Card Slot,NFC Support,HDD Capacity,Stylus Included,VGA Port,Security Chip
0,"ASUS ROG Strix SCAR 17 Core i9 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3070 Ti) G733ZW-LL139WS Gaming Laptop  (17.3 inch, Off Black, 2.90 kg, With MS Office)",5,"?2,34,990","Laptop, Power Adaptor, User Guide, Warranty Documents",ROG Strix SCAR 17,Off Black,Gaming Laptop,Gaming,280 W AC Adapter,4 cell,Yes,GDDR6,8 GB,Intel,Core i9,12th Gen,Yes,1 TB,32 GB,DDR5,2.5 GHz upto max turbo frequency at 5.0 Ghz,64,24,NVIDIA GeForce RTX 3070 Ti,14,64 bit,Windows 11 Home,"1 x Thunderbolt 4 support DisplayPort, 1 x USB 3.2 Gen 2 Type-C support DisplayPort / G-SYNC, 2 x USB 3.2 Gen 1 Type-A",1 x HDMI 2.1,No,43.94 cm (17.3 inch),2560 x 1440 Pixel,"WQHD, IPS-level, 300nits, Contras 1000:1, Anti-glare display",Four built-in speakers,Built-in array microphone,"AI noise-canceling technology, Dolby Atmos, Hi-Res certification, Smart Amp Technology",Wi-Fi 6E(802.11ax),v5.2,395 x 282 x 28.3 mm,2.90 kg,No,Backlit Chiclet Keyboard Per-Key RGB,Yes,90 WHrs Li-ion Battery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Accidental Damage,1 Year,,,,,,,,,,,,,,,,,,,,,
1,"ASUS ROG Strix SCAR 15 Core i9 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3070 Ti) G533ZW-LN136WS Gaming Laptop  (15.6 inch, Off Black, 2.30 kg, With MS Office)",,"?2,29,990","Laptop, Power Adaptor, User Guide, Warranty Documents",ROG Strix SCAR 15,Off Black,Gaming Laptop,Gaming,280 W AC Adapter,4 cell,Yes,GDDR6,8 GB,Intel,Core i9,12th Gen,Yes,1 TB,32 GB,DDR5,2.5 GHz upto max turbo frequency at 5.0 Ghz,64,24,NVIDIA GeForce RTX 3070 Ti,14,64 bit,Windows 11 Home,"1 x Thunderbolt 4 support DisplayPort, 1 x USB 3.2 Gen 2 Type-C support DisplayPort / G-SYNC, 2 x USB 3.2 Gen 1 Type-A",1 x HDMI 2.1,No,39.62 cm (15.6 inch),2560 x 1440 Pixel,"WQHD, IPS-level, 300nits, Contras 1000:1, Anti-glare display",Four built-in speakers,Built-in array microphone,"AI noise-canceling technology, Dolby Atmos, Hi-Res certification, Smart Amp Technology",Wi-Fi 6E(802.11ax),v5.2,354 x 259 x 27.2 mm,2.30 kg,No,Backlit Chiclet Keyboard Per-Key RGB,Yes,90 WHrs Li-ion Battery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Accidental Damage,1 Year,,,,,,,,,,,,,,,,,,,,,
2,"HP Victus Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) 16-e0351AX Gaming Laptop  (16.1 inch, Mica Silver, 2.48 kg, With MS Office)",,"?1,04,091","Laptop, battery, adapter, cables and user manuals",Victus,Mica Silver,Gaming Laptop,Gaming,,4 cell,Yes,GDDR6,4 GB,AMD,Ryzen 7 Octa Core,,Yes,512 GB,16 GB,DDR4,3.2 GHz upto max turbo frequency at 4.4 GHz,,16MB,NVIDIA GeForce RTX 3050,8,64 bit,Windows 11 Home,"1 x SuperSpeed USB Type-C 5Gbps signaling rate, 1 x SuperSpeed USB Type-A 5Gbps signaling rate, 2 x SuperSpeed USB Type-A 5Gbps signaling rate",1x HDMI 2.0,No,40.89 cm (16.1 inch),1920 x 1080 PIxel,"Full HD, 144 Hz, 7 ms response time, IPS, micro-edge, anti-glare, Low Blue Light, Brightness: 300 nits, 137 ppi",Built-in Dual Speakers,Built-in dual array digital microphones,Audio by B&O,Realtek Wi-Fi 6 (2x2),v5.2,370 x 262 x 23.5 mm,2.48 kg,No,"Full-size, backlit, mica silver keyboard with numeric keypad",Yes,70 Wh Li-ion polymer,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,HP Wide Vision 720p HD camera,,,,,,,,,,,,,,,,,,,,
3,"Lenovo IdeaPad Gaming 3i Ryzen 7 Octa Core R7-5800H 5th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) 15ACH6 Gaming Laptop  (15.6 inch, Shadow Black, 2.25 kg, With MS Office)",,"?87,717","Laptop, Power Adaptor, User Guide, Warranty Documents",IdeaPad Gaming 3i,Shadow Black,Gaming Laptop,Gaming,Slim Tip 3-pin Power Adapter,,Yes,GDDR6,4 GB,AMD,Ryzen 7 Octa Core,5th Gen,Yes,512 GB,16 GB,DDR4,3.2 GHz,,16 MB,NVIDIA GeForce RTX 3050,8,64 bit,Windows 11 Home,"2 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1",1 x HDMI 2.0,No,39.62 cm (15.6 inch),1920 x 1080 pixel,"Full HD Anti-glare Display, 250nits Brightness, 120Hz, 45 Percent NTSC, DC Dimmer",Stereo Speakers,Built-In Dual Array Microphone,High Definition Nahimic Audio,IEEE 802.11a/b/g/n/ac,v5.0,251.9 x?359.6 x?24.2 mm,2.25 kg,,English Backlit Keyboard,Yes,"512GB SSD to store all your files, Windows 11 Home software for easy to understand performance, 39.6 cm (15.6"") FHD Display to get definitive visuals, 16GB DDR4 3200 MHz RAM for smooth utilizing experience, Ryzen 7 5800H Processor for quick performance",1 Year Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,720p HD with PrivacyShutter,Upto 4 hours,AMD SoC Platform,2,3200 MHz,Yes,Realtek,250 Nits,No,Power Adaptor,,,,,,,,,,,
4,"Lenovo Yoga Slim 7 Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 82A300MBIN Thin and Light Laptop  (14 inch, Slate Grey, With MS Office)",,"?75,990","Laptop, Adaptor",Yoga Slim 7,Slate Grey,Thin and Light Laptop,"Processing & Multitasking, Entertainment, Everyday Use, Performance, Travel & Business",,,Yes,,,Intel,Core i5,11th Gen,Yes,512 GB,16 GB,DDR4,,,,Intel Integrated Intel,,64 bit,Windows 11 Home,Yes,Yes,Yes,35.56 cm (14 inch),1080 pixel,Full HD,Inbuilt,Yes,,Yes,Yes,,,,Backlit,Yes,,3 Years Warranty,Onsite,Manufacturing Defects,Physical Damage,36 Months,Yes,Upto 12 Hours,,,,,,,,,,,,,,,,,,,
5,"Lenovo Yoga Slim 7 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14ITL05 Thin and Light Laptop  (14 inch, Slate Grey, 1.36 kg, With MS Office)",,"?78,395","Thin & Light Laptop, Power Adaptor, User Guide, Warranty Documents",Yoga Slim 7,Slate Grey,Thin and Light Laptop,Processing & Multitasking,65W USB-C AC Adapter,,Yes,,,Intel,Core i7,11th Gen,Yes,512 GB,16 GB,DDR4,2.4 GHz,,8 MB,Intel Integrated Iris Xe Graphics,4,64 bit,Windows 11 Home,"1 x USB-C 3.2 Gen 2, 2 x USB 3.2 Gen 1",1 x HDMI 2.0b,No,35.56 cm (14 inch),1920 x 1080 pixel,"14"" FHD (1920x1080) | IPS Technology | 300Nits Brightness |100% sRGB",2 x 2W front-facing Dolby Atmos® Speaker System,Built-In Dual Array Microphone,Dolby Atmos® Speaker System uses surround and height virtualizer technologies to create three-dimensional audio.,IEEE 802.11a/b/g/n/ac/ax,v5.0,208.18?x?320.6?x?14.9?mm,1.36 kg,Yes,English Backlit Keyboard,Yes,"Processor: 11th Gen Intel Core i5-1135G7 | Speed: 2.4 GHz (Base) - 4.2 GHz (Max) | 4 Cores | 8MB Cache, Display: 14"" FHD (1920x1080)| IPS Technology | 300Nits Brightness |100% sRGB, Memory and Storage: 16GB RAM DDR4-3200 | 512GB SSD, Windows 11 Home 64, English, Pre-Installed: MS Office Home and Student 2019",1 Year Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,IR + ToF & 720p HD with PrivacyShutter,Upto 15 hours,Intel SoC,,3200 MHz,,Dolby Atmos®,300 Nits,,Power Adaptor,,,,,,,,,,,
6,"Lenovo Lenovo V15 Celeron Dual Core - (4 GB/256 GB SSD/Windows 10) 82C30053IH Thin and Light Laptop  (15.6 inch, Iron Grey)",3,"?29,290",Laptop & Adaptor,Lenovo V15,Iron Grey,Thin and Light Laptop,"Everyday Use, Entertainment, Travel & Business, Processing & Multitasking",,,No,,,Intel,Celeron Dual Core,,Yes,256 GB,4 GB,DDR4,,,,Intel Integrated Intel HD,,64 bit,Windows 10,,,No,39.62 cm (15.6 inch),1080 pixel,,,,,Yes,Yes,,,,,,,12 Months,12 Months Warranty,Manufacuring Defects,Physical Damage,12 Months,Yes,upto 6 hours,,,,,,,,,,,,,,,,,,,
7,"Lenovo Yoga 6 Ryzen 7 Octa Core R7-5700U 5th Gen - (16 GB/1 TB SSD/Windows 11 Home) 13ALC6 2 in 1 Laptop  (13.3 inch, Abyss Blue, 1.31 kg, With MS Office)",,"?91,308","2 in 1 Laptop, Power Adaptor, User Guide, Warranty Documents",Yoga 6,Abyss Blue,2 in 1 Laptop,Processing & Multitasking,45 W AC Adapter,,Yes,,,AMD,Ryzen 7 Octa Core,5th Gen,Yes,1 TB,16 GB,DDR4,1.8 GHz,,8 MB,AMD Radeon Integrated AMD Radeon™ Graphics,8,64 bit,Windows 11 Home,"2 x USB-C 3.2 Gen 1, 1 x USB 3.2 Gen 1, 1 x USB 3.2 Gen 1",,Yes,33.78 cm (13.3 inch),1920 x 1080 pixel,"13"" FHD (1920x1080) | IPS Technology | 300 Nits Glossy | Touch","Stereo Speakers, Dolby Atmos",Built-In Dual Array Microphone,Sound quality of speakers of this device is better than devices with normal Built-in Stereo Speakers.,IEEE 802.11a/b/g/n/ac/ax,v5.0,208.18?x?320.6?x?15.1?mm,1.31 kg,Yes,English Backlit Keyboard,Yes,"Processor: 5th Gen AMD Ryzen 7 - 5700U | Speed: 1.8 GHz (Base) - 4.3 GHz (Max) | 8 Cores | 8MB Cache, Display: 13"" FHD (1920x1080)| IPS Technology | 300Nits Glossy | Touch Screen, Memory and Storage: 16GB RAM DDR4-3200 | 1TB SSD, Windows 11 Home 64, English, Pre-Installed: MS Office Home and Student 2019",1 Year Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,720p HD with PrivacyShutter,Upto 18 hours,AMD SoC Platform,,3200 MHz,,Dolby Atmos®,300 Nits,,Power Adaptor,"The Lenovo Yoga 6 is an ultra-portable 2-in-1 that combines unique style with the powerful responsiveness of an AMD Ryzen 7 Processor and abundant memory and SSD storage options. Enjoy a rich multimedia experience with the clarity of a 13.3"" FHD display, and enveloping sound with Dolby Atmos- optimized stereo speakers.",No,,,,,,,,,
8,"ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FX506LH-HN310W Gaming Laptop  (15.6 inch, Black, 2.30 kg)",4.7,"?64,990","Laptop , Adaptor, & Manual",TUF Gaming F15,Black,Gaming Laptop,"Gaming, Entertainment, Processing & Multitasking, Everyday Use, Performance","150W AC Adapter, Output: 20V DC, 7.5A, 150W, Input: 100~240V AC, 50/60Hz universal",,No,GDDR6,4 GB,Intel,Core i5,10th Gen,Yes,1 TB,8 GB,DDR4,2.5 Ghz With Turbo Upto 4.5,Upto 32 GB,8 MB,NVIDIA GeForce GTX 1650,4,64 bit,Windows 11 Home,"1x USB 2.0 Type-A, 2x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C",1x HDMI,No,39.62 cm (15.6 inch),1920 x 1080$$Pixels pixel,"15.6-inch, FHD (1920 x 1080) 16:9, anti-glare display, sRGB:62.5%, Adobe:47.1%, Refresh Rate:144Hz, Value IPS-level, Optimus",DTS software Built-in array microphone Built-in speaker 2-speaker system with Smart Amplifier Technology,Yes,DTS software Built-in array microphone Built-in speaker 2-speaker system with Smart Amplifier Technology,Wi-Fi 6(802.11ax)+Bluetooth 5.1 (Dual band) 2*2,5.1,35.9 x 25.6 x 2.47 ~ 2.49 cm,2.30 kg,,Backlit Chiclet Keyboard RGB,Yes,,1 Year On site Manufacturing warranty,Onsite,Manufacturing Defects,Any type of damage,1 Year,720p HD,Upto 5 Hrs.,,DDR4 SO-DIMM * 2,2933 MHz,,,,No,,NVMe™ PCIe® 3.0 SSD,,64 Bit,144 Hz,1 Year McAfee,,,,,,
9,"DELL Inspiron Pentium Silver - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3521 Notebook  (15.6 Inch, Carbon Black, 1.61 Kg, With MS Office)",4,"?32,999","Laptop, battery, adapter, cables and user manuals",Inspiron,Carbon Black,Notebook,Everyday Use,,3,Yes,,,Intel,Pentium Silver,,Yes,256 GB,8 GB,DDR4,3.1,16,4,Intel Integrated UHD Graphics,4,64 bit,Windows 11 Home,"2x USB 3.2 Gen1 ,1x USB 2.0, HDMI 1.4",1x HDMI 1.4 port,No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,"HD, AG Narrow Border",Yes,Yes,Waves Maxx Audio Pro,802.11ac,v5.0,358 x 210 x 23.5 mm,1.61 Kg,,English International Non Backlit Keyboard,Yes,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Accidental Damage,1 Year,HD,Upto 7 hours,,2,2666 MHz,Yes,,,,,M.2 SATA,,64,,,1x SD Card reader,,,,,
10,"DELL Inspiron Athlon Dual Core 3050U - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3525 Notebook  (15.6 Inch, Carbon Black, 1.68 Kg, With MS Office)",4.2,"?30,990","Laptop, battery, adapter, cables and user manuals",Inspiron,Carbon Black,Notebook,Everyday Use,,3,Yes,,,AMD,Athlon Dual Core,,Yes,256 GB,8 GB,DDR4,3.2,16,4,AMD Radeon Radeon Graphics,2,64 bit,Windows 11 Home,"2x USB 3.2 Gen 1, 1x USB 2.0",1x HDMI 1.4 port,No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,HD AG Narrow Border,Yes,Yes,Waves Maxx Audio Pro,802.11ac,v5.0,358 x 210 x 23.5 mm,1.68 Kg,No,English International Non Backlit Keyboard,Yes,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Accidental Damage,1 Year,HD,Upto 7 hours,,2,2666 MHz,Yes,,,,,M.2 SATA,,64,,,1x SD Media Card Reader,,,,,
11,"DELL Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) XPS 9305 Thin and Light Laptop  (13.4 inch, Platinum Silver, 1.16 kg, With MS Office)",,"?1,49,645","Laptop, battery, adapter, cables and user manuals",,Platinum Silver,Thin and Light Laptop,Processing & Multitasking,,4 cell,Yes,,,Intel,Core i5,11th Gen,Yes,512 GB,16 GB,LPDDR4X,2.4 GHz upto max turbo frequency at 4.2 Ghz,32,8,Intel Integrated Iris Xe,8,64 bit,Windows 11 Home,"2 x Thunderbolt 4,1 x USB 3.2 Type C",,No,34.04 cm (13.4 inch),1920 x 1080 Pixel,Full HD WVA Infinity Edge,Yes,Yes,Waves Maxx Audio Pro,Killer Wi-Fi 6 AX1650,v5.1,302 x 199 x 15.8 mm,1.16 kg,Yes,Backlit Keyboard,Yes,,1 Year Premium Support Plus,Onsite,Manufacturing Defects,Physical Damage,1 Year,HD,Upto 13 Hours,,,,,,,,,M.2 SATA,,,,,1 x Micro SD card reader,,,,,
12,"Lenovo Yoga 7i Ryzen 7 Octa Core R7-5800U 5th Gen - (16 GB/512 GB SSD/Windows 10 Home) 14ITL5 2 in 1 Laptop  (14 inch, Slate Grey, 1.43 kg, With MS Office)",,"?99,219","2 in 1 Laptop, Power Adaptor, User Guide, Warranty Documents",Yoga 7i,Slate Grey,2 in 1 Laptop,Processing & Multitasking,65 W AC Adapter,,Yes,,,AMD,Ryzen 7 Octa Core,5th Gen,Yes,512 GB,16 GB,DDR4,1.9 GHz,,16 MB,AMD Radeon Integrated AMD Radeon Graphics,,64 bit,Windows 10 Home,"2 x USB-C 3.2 Gen 2 (full function), 1 x USB-A 3.2 Gen 1",,Yes,35.56 cm (14 inch),1920 x 1080$$Pixels pixel,"35.5cms (14) FHD IPS (1920 x 1080) 300 nits, wide-viewing angle touchscreen, 72% NTSC, 16:9 aspect ratio, anti-glare",2 x 2W front-facing Dolby Atmos® Speaker System,Built-In Dual Array Microphone,Sound quality of speakers of this device is better than devices with normal Built-in Stereo Speakers.,,v5.0,214.6x320.4x17.7mm,1.43 kg,Yes,English Backlit Keyboard,Yes,"Free upgrade to Windows 11 when available* Disclaimer-*The Windows 11 upgrade will be delivered late 2021 into 2022. Specific timing varies by device. Certain features require specific hardware., Processor: 5th Gen AMD Ryzen 7 - 5800U | Speed: 1.9 GHz (Base) - 4.4 GHz (Max) | 8 Cores | 16 Threads | 4MB L2/16MB L3 Cache, OS: Pre-Loaded Windows 10 Home with Lifetime Validity, FREE Upgrade to Windows 11* (when available), Pre-Installed: MS Office Home and Student 2019, Memory and Storage: 16GB RAM DDR4-3200 | 512 GB SSD, Graphics: Integrated AMD Radeon Graphics, Display: 14"" Full HD (1920x1080) | Brightness: 300 nits | IPS Technology | 72% NTSC | Touchscreen",1 Year Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,720p HD with PrivacyShutter,Upto 10 hours,Intel SoC,,3200 MHz,,Dolby Atmos®,300 Nits,No,Power Adaptor,,,,,,,No,,,,
13,"ASUS Ryzen 7 Dual Core 7th Gen - (16 GB/512 GB HDD/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX3050- 4GB) FA506IC-HN075W Gaming Laptop  (15.6 inch, Black)",,"?82,980","Laptop, Manual, Adaptor",,Black,Gaming Laptop,Gaming,,,No,DDR4,4 GB,AMD,Ryzen 7 Dual Core,7th Gen,Yes,512 GB,16 GB,DDR4,,,,NVIDIA GeForce RTX3050- 4GB,,,Windows 11 Home,,,No,39.62 cm (15.6 inch),1080 x 1920$$Pixels pixel,,,,,,YES,,,,,,,1 Year Warranty,on site,Manufacturer defect,"Damage, Burn",,,4 hours,,,,,,,,,,,,,,,,512 GB,,,
14,"ASUS Ryzen 3 Quad Core 3rd Gen - (8 GB/256 GB SSD/Windows 11 Home) M515DA-BR322WS Laptop  (15.6 inch, Silver, With MS Office)",4.7,"?36,949","Laptop, Manual, Adaptor",,Silver,Laptop,"Entertainment, Everyday Use, Processing & Multitasking, Travel & Business",,,Yes,,,AMD,Ryzen 3 Quad Core,3rd Gen,Yes,256 GB,8 GB,DDR4,,,,AMD Radeon amd redeon,,,Windows 11 Home,,,No,39.62 cm (15.6 inch),1080 x 1920$$Pixels pixel,,,,,,yes,,,,,,,1 Year Warranty,on site,Manufacturer Defect,"Damage, Burn",,,4 hours,,,,,,,,,,,,,,,,,,,
15,"ASUS ROG Flow X13 (2021) Ryzen 9 Octa Core Ryzen 9 5900HS 5th Gen - (32 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/120 Hz) GV301QH-K6461TS 2 in 1 Gaming Laptop  (13.4 Inch, Black, 1.3 KG, With MS Office)",,"?1,29,990","Laptop, Power Adaptor, User Guide, GV 301 Sleeve Bag, Pen, Warranty Documents",ROG Flow X13 (2021),Black,2 in 1 Gaming Laptop,"Gaming, Processing & Multitasking",100W AC Adapter,4 Cell,Yes,GDDR6,4 GB,AMD,Ryzen 9 Octa Core,5th Gen,Yes,1 TB,32 GB,LPDDR4X,3.1 GHz with Turbo Boost up to 4.5 GHz,16,16,NVIDIA GeForce GTX 1650,8,64 bit,Windows 10 Home,"1 x USB 3.2 Gen 2 Type-A, 2 x USB 3.2 Gen 1 Type-C (Support DisplayPort/Power Delivery)",1 x HDMI Port (v2.0b),Yes,34.04 cm (13.4 Inch),1920 x 1200 Pixel,"WUXGA LED Backlit Glossy IPS-Level Touch Display with Adaptive Sync (16:10 Aspect Ratio, 120 Hz Refresh Rate, 300 nits Brightness, 1000:1 Contrast Ratio, 72% NTSC Color Gamut, 100% sRGB, 75% Adobe, 75% DCI-P3, Pantone Validated)",Built-In Dual Speakers,Built-In Array Microphone (AI Noise Cancelling),"2 x 1W Speaker with Smart Amp Technology, DAC and Dolby Atmos Software",Wi-Fi 6 (802.11ax),v5.1,29.9 x 22.2 x 1.58,1.3 KG,No,Backlit Chiclet Keyboard,Yes,"Viewing Angle (89/89/89/89), 62 WHrs Li-ion Battery, BIOS Administrator Password and User Password Protection",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,720p HD Webcam,4-5 Hrs,NA,,4266 MHz,No,,,No,"Sleeve Bag, Pen",PCIe NVMe M.2,,64,120 Hz,NA,,,,Yes,No,
16,"MSI GP66 Leopard Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce RTX 3070/240 Hz) GP66 Leopard 11UG Gaming Laptop  (15.6 inches, Black, 2.9 kg)",,"?1,58,270","Laptop, Battery, Power Adapter, User Guide, Stealth Trooper Backpack",GP66 Leopard,Black,Gaming Laptop,"Processing & Multitasking, Gaming",280 W AC Adapter,4 cell,No,GDDR6,8 GB,Intel,Core i7,11th Gen,Yes,1 TB,16 GB,DDR4,4.60 GHz with Max Turbo Frequency,64GB,,NVIDIA GeForce RTX 3070,,64 bit,Windows 10 Home,"3 x Type-A USB 3.2 gen1, 1 x RJ45, 1 x Mini-Display Port",1 x HDMI 2.1,No,39.62 cm (15.6 inches),1920 x 1080 Pixels,Full HD IPS Display (100% sRGB),2 x 2 W Speakers,Yes,Realtek ALC 298,Killer Wi-Fi 6E AX1675,v5.2,397 x 284 x 25.9,2.9 kg,,Per key RGB steel series Keyboard,Yes,"SteelSeries Engine 3, Matrix Display (Extend), VR Ready, Cooler Boost 5, Per-Key RGB Gaming Keyboard by Steelseries, Hi-Res Audio, Nahimic 3, Thin Bezel, 240Hz Panel, WiFi 6E, Discrete Graphics Mode, Speaker Tuning Engine, 2.5Gb LAN",2 Year Warranty,Carry-In Warranty,Part Failure,Physical Damage|| Burn|| Liquid Spill,2 Year,HD type (30fps at 720p) Webcam,3 Hours,,2,3200 MHz,Yes,Realtek ALC298,,Yes,,PCIe NVMe,,64 bits,240 Hz,,NA,,,,,
17,"ASUS Vivobook 15 OLED Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) K513EA-L301WS Laptop  (15.6 inch, Hearty Gold, 1.80 kg kg, With MS Office)",,"?47,990","Laptop, Manual, Adaptor",Vivobook 15 OLED,Hearty Gold,Laptop,"Entertainment, Everyday Use, Performance, Processing & Multitasking",65W AC Adapter,"42WHrs, 3S1P, 3-cell Li-ion",Yes,DDR4,,Intel,Core i3,11th Gen,Yes,256 GB,8 GB,DDR4,"Intel® Core™ i3-1115G4 Processor 3.0 GHz (6M Cache, up to 4.1 GHz, 2 cores)",,6MB,Intel Integrated Intel® UHD Graphics,2,64 bit,Windows 11 Home,1x USB 3.2 Gen 1 Type-A | 1x USB 3.2 Gen 1 Type-C | 2x USB 2.0 Type-A,1x HDMI 1.4,No,39.62 cm (15.6 inch),1920 x 1080 pixel,"15.6-inch, FHD (1920 x 1080) OLED 16:9 aspect ratio, LED Backlit, 0.2ms response time, 600nits peak brightness, 100% DCI-P3 color gamut, 1,000,000:1, VESA CERTIFIED Display HDR True Black 600, 1.07 billion colors, PANTONE Validated, Glossy display, 70% less harmful blue light, SGS Eye Care Display, Screen-to-body ratio: 85 ?",Built-in speaker,Built-in microphone,,,yes,35.90 x 23.50 x 1.79 Cm,1.80 kg kg,Yes,Backlit Chiclet Keyboard with Num-key,Yes,,1 Year Onsite Warranty,onsite,Manufacturing Defects,Physical Damage,1 Year,720p HD camera,3 Hours,,,3200 MHz,,Audio by ICEpower®,400 Nits,No,,NVMe™ PCIe® 3.0 SSD,,64 Bit,,,Micro SD card reader,,,,,
18,"realme Book Prime Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) CloudPro002 Thin and Light Laptop  (14 inch, Grey, 1.37 kg, With MS Office)",4.3,"?64,990","Laptop, Power Adaptor, Battery, Warranty Documents, User Guide",Book Prime,Grey,Thin and Light Laptop,"Entertainment, Performance, Processing & Multitasking",65W Type-C Adaptor,54Wh,Yes,,,Intel,Core i5,11th Gen,Yes,512 GB,16 GB,LPDDR4X,Base 3.2 GHz Turbo Boost Upto 4.5 GHz,,8,Intel Integrated Iris Xe,,,Windows 11 Home,"1 x USB Gen 3.2 Thunderbolt 4, 1 x Type C USB 3.2 Gen 2 , 1 x TypeA USB Gen 3.1 Gen 1",,No,35.56 cm (14 inch),2160 x 1440 Pixel,"Quad HD, 60 Hz Refresh Rate",,,,,Yes,307.21 x 228.96 x 15.55 mm,1.37 kg,Yes,Backlit Keyboard,Yes,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,Upto 12 hours,Intel i5-11320H,,4266 MHz,,,,,,,,,,,,No,,,,
19,"realme Book Prime Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) CloudPro002 Thin and Light Laptop  (14 inch, Green, 1.37 kg, With MS Office)",4.3,"?64,990","Laptop, Power Adaptor, Battery, Warranty Documents, User Guide",Book Prime,Green,Thin and Light Laptop,"Entertainment, Performance, Processing & Multitasking",65W Type-C Adaptor,54Wh,Yes,,,Intel,Core i5,11th Gen,Yes,512 GB,16 GB,LPDDR4X,Base 3.2 GHz Turbo Boost Upto 4.5 GHz,,8,Intel Integrated Iris Xe,,,Windows 11 Home,"1 x USB Gen 3.2 Thunderbolt 4, 1 x Type C USB 3.2 Gen 2 , 1 x Type A USB Gen 3.1 Gen 1",,No,35.56 cm (14 inch),2160 x 1440 Pixel,"Quad HD, 60 Hz Refresh Rate",,,,,Yes,307.21 x 228.96 x 15.55 mm,1.37 kg,Yes,Backlit Keyboard,Yes,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,Upto 12 hours,Intel i5-11320H,,4266 MHz,,,,,,,,,,,,No,,,,
